file,verdict,score,confidence,hires_verdict,evidence_families,engine_version,engine_sha
b001.wav,AUTHENTIC,0,✅ Authentic file,NOT_HIRES,,1.13.4,9199d4528572995e51627e6b8821186b5e738f91
b002.wav,FAKE_CERTAIN,85,❌ Transcoding confirmed — corroborated by independent evidence,NOT_HIRES,cnn|mdct,1.13.4,9199d4528572995e51627e6b8821186b5e738f91
b003.wav,AUTHENTIC,0,✅ Authentic file,NOT_HIRES,stereo,1.13.4,9199d4528572995e51627e6b8821186b5e738f91
b004.wav,AUTHENTIC,0,✅ Authentic file,NOT_HIRES,,1.13.4,9199d4528572995e51627e6b8821186b5e738f91
b005.wav,AUTHENTIC,0,✅ Authentic file,NOT_HIRES,,1.13.4,9199d4528572995e51627e6b8821186b5e738f91
b006.wav,AUTHENTIC,0,✅ Authentic file,NOT_HIRES,stereo|temporal,1.13.4,9199d4528572995e51627e6b8821186b5e738f91
b007.wav,FAKE_CERTAIN,85,❌ Transcoding confirmed — corroborated by independent evidence,NOT_HIRES,cnn|mdct|stereo,1.13.4,9199d4528572995e51627e6b8821186b5e738f91
b008.wav,AUTHENTIC,0,✅ Authentic file,NOT_HIRES,stereo|temporal,1.13.4,9199d4528572995e51627e6b8821186b5e738f91
b009.wav,AUTHENTIC,0,✅ Authentic file,NOT_HIRES,temporal,1.13.4,9199d4528572995e51627e6b8821186b5e738f91
b010.wav,AUTHENTIC,0,✅ Authentic file,NOT_HIRES,,1.13.4,9199d4528572995e51627e6b8821186b5e738f91
b011.wav,AUTHENTIC,0,✅ Authentic file,NOT_HIRES,,1.13.4,9199d4528572995e51627e6b8821186b5e738f91
b012.wav,AUTHENTIC,0,✅ Authentic file,NOT_HIRES,stereo,1.13.4,9199d4528572995e51627e6b8821186b5e738f91
b013.wav,FAKE_CERTAIN,79,❌ Transcoding confirmed — corroborated by independent evidence,NOT_HIRES,cnn|spectral|stereo,1.13.4,9199d4528572995e51627e6b8821186b5e738f91
b014.wav,AUTHENTIC,0,✅ Authentic file,NOT_HIRES,,1.13.4,9199d4528572995e51627e6b8821186b5e738f91
b015.wav,WARNING,31,"⚡ Anomalies detected, may be legitimate",NOT_HIRES,cnn|temporal,1.13.4,9199d4528572995e51627e6b8821186b5e738f91
b016.wav,AUTHENTIC,0,✅ Authentic file,NOT_HIRES,,1.13.4,9199d4528572995e51627e6b8821186b5e738f91
b017.wav,FAKE_CERTAIN,80,❌ Transcoding confirmed — corroborated by independent evidence,NOT_HIRES,cnn|spectral|stereo|temporal,1.13.4,9199d4528572995e51627e6b8821186b5e738f91
b018.wav,WARNING,50,"⚡ Anomalies detected, may be legitimate",NOT_HIRES,spectral|stereo,1.13.4,9199d4528572995e51627e6b8821186b5e738f91
b019.wav,AUTHENTIC,0,✅ Authentic file,NOT_HIRES,,1.13.4,9199d4528572995e51627e6b8821186b5e738f91
b020.wav,AUTHENTIC,0,✅ Authentic file,NOT_HIRES,temporal,1.13.4,9199d4528572995e51627e6b8821186b5e738f91
b021.wav,SUSPICIOUS,74,"⚠️  Probable transcoding, manual check recommended",NOT_HIRES,mdct,1.13.4,9199d4528572995e51627e6b8821186b5e738f91
b022.wav,AUTHENTIC,0,✅ Authentic file,NOT_HIRES,,1.13.4,9199d4528572995e51627e6b8821186b5e738f91
b023.wav,FAKE_CERTAIN,86,❌ Transcoding confirmed — corroborated by independent evidence,NOT_HIRES,cnn|spectral|stereo,1.13.4,9199d4528572995e51627e6b8821186b5e738f91
b024.wav,AUTHENTIC,0,✅ Authentic file,NOT_HIRES,stereo,1.13.4,9199d4528572995e51627e6b8821186b5e738f91
b025.wav,AUTHENTIC,0,✅ Authentic file,NOT_HIRES,,1.13.4,9199d4528572995e51627e6b8821186b5e738f91
b026.wav,WARNING,52,"⚡ Anomalies detected, may be legitimate",NOT_HIRES,spectral|stereo,1.13.4,9199d4528572995e51627e6b8821186b5e738f91
b027.wav,AUTHENTIC,0,✅ Authentic file,NOT_HIRES,stereo,1.13.4,9199d4528572995e51627e6b8821186b5e738f91
b028.wav,FAKE_CERTAIN,85,❌ Transcoding confirmed — corroborated by independent evidence,NOT_HIRES,cnn|mdct,1.13.4,9199d4528572995e51627e6b8821186b5e738f91
