file_id,score,verdict,cutoff_freq,Rule13MDCTAlignment
14915f90be4d,0,AUTHENTIC,22050.0,0
9bd0ed4cab22,0,AUTHENTIC,22050.0,0
67db3dd2d12e,0,AUTHENTIC,22050.0,0
036e8f81e408,0,AUTHENTIC,22050.0,0
a2e28a5d323f,0,AUTHENTIC,48000.0,0
d521972513cb,0,AUTHENTIC,48000.0,0
e446ea225724,0,AUTHENTIC,48000.0,0
1589c37cf292,0,AUTHENTIC,22050.0,0
93719c481457,0,AUTHENTIC,48000.0,0
cd3b7d1a6380,0,AUTHENTIC,48000.0,0
96a528811f39,0,AUTHENTIC,22050.0,0
bb0492f305b0,31,WARNING,20750.0,0
699bafc049c7,31,WARNING,20750.0,0
7aa15b941368,13,AUTHENTIC,20750.0,0
b5c055508c6a,0,AUTHENTIC,22050.0,0
d6b35e21ee45,0,AUTHENTIC,22050.0,0
6d6326138925,0,AUTHENTIC,21000.0,0
a9900ec0eedf,0,AUTHENTIC,22050.0,0
53c07422f41b,0,AUTHENTIC,17500.0,
5569b0d2f313,0,AUTHENTIC,20500.0,0
4f11239ba293,0,AUTHENTIC,17500.0,
c06b54ec72c5,0,AUTHENTIC,17500.0,
ff6080f35299,0,AUTHENTIC,17750.0,
0d82ba62a34c,0,AUTHENTIC,20750.0,0
0d0900cf9759,0,AUTHENTIC,22050.0,0
d01154ab4bd1,25,AUTHENTIC,20500.0,0
9a6c909b67b8,31,WARNING,18750.0,0
3d18c2907467,0,AUTHENTIC,22050.0,0
fb62f2c1a779,0,AUTHENTIC,22050.0,0
10efa80dd9bd,0,AUTHENTIC,22050.0,0
c0f4c500c14c,0,AUTHENTIC,22050.0,0
f48e1082949b,33,WARNING,19250.0,0
f4debbf8f94a,31,WARNING,18500.0,0
4368d08c9004,32,WARNING,19500.0,0
21a965f50e74,2,AUTHENTIC,19500.0,0
a44889687bcd,31,WARNING,17750.0,
6b20af6301e5,0,AUTHENTIC,17750.0,
fdcc4607134c,0,AUTHENTIC,20500.0,0
37f2cb10db7f,0,AUTHENTIC,20500.0,0
8becdb6e018c,10,AUTHENTIC,19250.0,0
3711b37b1d41,32,WARNING,19500.0,0
f8d55f82bc79,32,WARNING,19500.0,0
39a218d94f2f,0,AUTHENTIC,17750.0,
54c5e058e46a,0,AUTHENTIC,22050.0,0
8dac9653bf93,32,WARNING,19500.0,0
fc734a8ef5e1,0,AUTHENTIC,17000.0,
d1d084487f4a,41,WARNING,17750.0,
c6f7f20fa50e,0,AUTHENTIC,22050.0,0
b62f3bf5ef59,0,AUTHENTIC,22050.0,0
d51e2f5ea715,0,AUTHENTIC,22050.0,0
1608f6ae1aa2,0,AUTHENTIC,22050.0,0
2541c485d94b,0,AUTHENTIC,22050.0,0
55a7e64a16b1,0,AUTHENTIC,22050.0,0
353832b112ac,0,AUTHENTIC,22050.0,0
d41301cfc02c,0,AUTHENTIC,22050.0,0
47783d4f139e,0,AUTHENTIC,22050.0,0
0f3535b25d18,0,AUTHENTIC,22050.0,0
47fee66e45f2,0,AUTHENTIC,22050.0,0
06406032b9d3,2,AUTHENTIC,19500.0,0
f2f5499aafc1,0,AUTHENTIC,48000.0,0
a39e7f7d0310,0,AUTHENTIC,20500.0,0
33275f4259be,0,AUTHENTIC,20750.0,0
72127fe87605,0,AUTHENTIC,48000.0,0
2f389595f156,0,AUTHENTIC,48000.0,0
05108534a202,0,AUTHENTIC,22050.0,0
0316a1c98a94,0,AUTHENTIC,48000.0,0
3dfc7913417a,0,AUTHENTIC,22050.0,0
4bc363841881,0,AUTHENTIC,22050.0,0
8dbd00298296,0,AUTHENTIC,48000.0,0
98550f90e5e7,0,AUTHENTIC,22050.0,0
c891d50c5792,0,AUTHENTIC,18750.0,0
3797d1e744e9,0,AUTHENTIC,48000.0,0
2eabfb68d9c4,0,AUTHENTIC,22050.0,0
ab2637cf38de,0,AUTHENTIC,22050.0,0
3655a39ae88b,0,AUTHENTIC,22050.0,0
b46bb4e43a86,0,AUTHENTIC,22050.0,0
